date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:58	143893/143893	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Aug%202023%2000:53:14%20GMT	https://unicktheme.com/bixola/index.html	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/index.html	(from )
12:04:58	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2006:04:57%20GMT	https://unicktheme.com/robots.txt		(from )
12:04:58	28742/28742	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2004:10:04%20GMT	https://unicktheme.com/bixola/assets/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/images/favicons/apple-touch-icon.png	(from https://unicktheme.com/bixola/index.html)
12:04:58	1936/1936	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2004:10:04%20GMT	https://unicktheme.com/bixola/assets/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/images/favicons/favicon-32x32.png	(from https://unicktheme.com/bixola/index.html)
12:04:58	753/753	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2004:10:04%20GMT	https://unicktheme.com/bixola/assets/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/images/favicons/favicon-16x16.png	(from https://unicktheme.com/bixola/index.html)
12:04:59	263/263	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2015%20Jul%202023%2004:10:04%20GMT	https://unicktheme.com/bixola/assets/images/favicons/site.webmanifest	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/images/favicons/site.webmanifest	(from https://unicktheme.com/bixola/index.html)
12:04:59	154875/154875	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:02%20GMT	https://unicktheme.com/bixola/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://unicktheme.com/bixola/index.html)
12:04:59	87493/87493	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:00%20GMT	https://unicktheme.com/bixola/assets/vendors/animate/animate.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/animate/animate.min.css	(from https://unicktheme.com/bixola/index.html)
12:04:59	32910/32910	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202022%2010:05:40%20GMT	https://unicktheme.com/bixola/assets/vendors/animate/custom-animate.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/animate/custom-animate.css	(from https://unicktheme.com/bixola/index.html)
12:05:00	59348/59348	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:04%20GMT	https://unicktheme.com/bixola/assets/vendors/fontawesome/css/all.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/fontawesome/css/all.min.css	(from https://unicktheme.com/bixola/index.html)
12:05:00	335/335	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:08%20GMT	https://unicktheme.com/bixola/assets/vendors/jarallax/jarallax.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/jarallax/jarallax.css	(from https://unicktheme.com/bixola/index.html)
12:05:00	7302/7302	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:10%20GMT	https://unicktheme.com/bixola/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://unicktheme.com/bixola/index.html)
12:05:00	3116/3116	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:14%20GMT	https://unicktheme.com/bixola/assets/vendors/odometer/odometer.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/odometer/odometer.min.css	(from https://unicktheme.com/bixola/index.html)
12:05:00	13689/13689	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:18%20GMT	https://unicktheme.com/bixola/assets/vendors/swiper/swiper.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/swiper/swiper.min.css	(from https://unicktheme.com/bixola/index.html)
12:05:01	5446/5446	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Jul%202023%2009:30:34%20GMT	https://unicktheme.com/bixola/assets/vendors/bixola-icons/style.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/bixola-icons/style.css	(from https://unicktheme.com/bixola/index.html)
12:05:01	3351/3351	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:16%20GMT	https://unicktheme.com/bixola/assets/vendors/owl-carousel/owl.carousel.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/owl-carousel/owl.carousel.min.css	(from https://unicktheme.com/bixola/index.html)
12:05:01	1013/1013	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2005:35:16%20GMT	https://unicktheme.com/bixola/assets/vendors/owl-carousel/owl.theme.default.min.css	C:/My%20Web%20Sites/consult2/unicktheme.com/bixola/assets/vendors/owl-carousel/owl.theme.default.min.css	(from https://unicktheme.com/bixola/index.html)
